"Part";"Value";"Device";"Package";"Description";"MANUFACTURER";"MAXIMUM_PACKAGE_HEIGHT";"MPN";"PARTREV";"POPULARITY";"PROD_ID";"STANDARD";"TP_SIGNAL_NAME";"VALUE";
"R12";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R13";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R14";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R15";"2.727k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R16";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"TP1";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"2";"";"";"";"";
"TP2";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"2";"";"";"";"";
"TP3";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"2";"";"";"";"";
"TP4";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"2";"";"";"";"";
"U$1";"PVX012A0XV1";"PVX012A0XV1";"PVX012A0X";"";"";"";"";"";"";"";"";"";"";
"U$2";"PVX012A0XV1";"PVX012A0XV1";"PVX012A0X";"";"";"";"";"";"";"";"";"";"";
"U$3";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$4";"PVX012A0XV1";"PVX012A0XV1";"PVX012A0X";"";"";"";"";"";"";"";"";"";"";
"U$5";"TEMP-HUM-SENSOR-DHT22";"TEMP-HUM-SENSOR-DHT22";"TEMP-HUM-SENSOR-DHT22";"DHT22 - digital humidity & temperature sensor";"";"";"";"";"";"";"";"";"";
"U$6";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$7";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$8";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$9";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$10";"PTC_1206";"PTC_1206";"1206";"";"";"";"";"";"";"";"";"";"";
"U$11";"PTC_1206";"PTC_1206";"1206";"";"";"";"";"";"";"";"";"";"";
"U$12";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$13";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$14";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$15";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
"U$17";"PTC_1206";"PTC_1206";"1206";"";"";"";"";"";"";"";"";"";"";
"U$18";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";"";"";"";"";"";"";"";"";
